MATERIAL NUMBER,Description,MT,MT+PVN
0001263006,STARTER,648.86,785.12
0001263008,STARTER,399.48,483.38
0001263016,STARTER,588.01,711.49
0001263020,STARTER,482.39,583.69
0001263022,STARTER,1601.19,1937.44
0001263024,STARTER,370.49,448.29
0001263048,STARTER,345.19,417.68
0001263049,STARTER,352.48,426.50
0001263052,STARTER,345.19,417.68
0001311114,STARTER,1406.65,1702.04
0001312110,STARTER,925.41,1119.74
0001314047,STARTER,870.70,1053.55
0001330004,STARTER,980.59,1186.51
0001330008,STARTER,883.87,1069.49
0001330012,STARTER,928.13,1123.04
0001330013,STARTER,1858.38,2248.64
0001330014,STARTER,2009.33,2431.29
0001330018,STARTER,2141.26,2590.93
0001330020,STARTER,1262.90,1528.10
0001340501,STARTER,4194.83,5075.74
0001340502,STARTER,3695.61,4471.68
0001340504,STARTER,1152.28,1394.26
0001362034,STARTER,588.93,712.61
0001362041,STARTER,642.88,777.88
0001362046,STARTER,882.30,1067.58
0001362050,STARTER,632.81,765.70
0001362051,STARTER,501.18,606.42
0001362052,STARTER,577.10,698.30
0001362059,STARTER,854.75,1034.25
0001362100,STARTER,502.32,607.81
0001362300,STARTER,872.72,1055.99
0001362301,STARTER,891.88,1079.18
0001362303,STARTER,539.51,652.81
0001362304,STARTER,570.62,690.45
0001362305,STARTER,507.28,613.81
0001362314,STARTER,846.39,1024.13
0001362319,STARTER,499.21,604.04
0001362331,STARTER,1213.01,1467.74
0001362332,STARTER,845.19,1022.68
0001362600,STARTER,462.06,559.09
0001362700,STARTER,507.66,614.27
0001362701,STARTER,902.66,1092.22
0001363111,STARTER,559.94,677.52
0001363113,STARTER,958.92,1160.29
0001363117,STARTER,503.85,609.66
0001363120,STARTER,634.14,767.31
0001363122,STARTER,935.38,1131.81
0001363123,STARTER,558.21,675.43
0001363126,STARTER,585.50,708.45
0001363130,STARTER,1581.44,1913.55
0001364300,STARTER,657.23,795.25
0001364301,STARTER,639.10,773.31
0001365004,STARTER,1702.35,2059.85
0001366004,STARTER,893.09,1080.63
0001366010,STARTER,675.20,816.99
0001367007,STARTER,932.59,1128.43
0001367008,STARTER,920.61,1113.94
0001367017,STARTER,928.99,1124.07
0001367021,STARTER,913.42,1105.24
0001367022,STARTER,955.31,1155.93
0001367028,STARTER,627.27,759.00
0001367029,STARTER,514.53,622.58
0001367039,STARTER,932.59,1128.43
0001367054,STARTER,621.36,751.85
0001367061,STARTER,1579.04,1910.64
0001367076,STARTER,545.90,660.54
0001367079,STARTER,902.66,1092.22
0001367303,STARTER,548.67,663.89
0001368005,STARTER,550.40,665.98
0001368008,STARTER,1016.38,1229.82
0001368010,STARTER,550.20,665.74
0001368012,STARTER,522.16,631.82
0001368015,STARTER,1069.05,1293.55
0001368017,STARTER,550.40,665.98
0001368019,STARTER,474.47,574.11
0001368021,STARTER,518.15,626.96
0001368027,STARTER,543.33,657.43
0001368028,STARTER,943.36,1141.47
0001368035,STARTER,577.87,699.22
0001368037,STARTER,529.79,641.05
0001368045,STARTER,1065.48,1289.23
0001368060,STARTER,528.83,639.88
0001368061,STARTER,1071.45,1296.46
0001368068,STARTER,1033.14,1250.10
0001368069,STARTER,531.88,643.58
0001368071,STARTER,540.28,653.73
0001368073,STARTER,1055.88,1277.61
0001368080,STARTER,620.22,750.47
0001368081,STARTER,570.80,690.67
0001368082,STARTER,545.24,659.74
0001368085,STARTER,530.94,642.43
0001368088,STARTER,548.49,663.67
0001368121,STARTER,1318.63,1595.54
0001368301,STARTER,544.69,659.08
0001368302,STARTER,600.76,726.92
0001368309,STARTER,511.28,618.65
0001368310,STARTER,564.90,683.52
0001368313,STARTER,555.16,671.74
0001368316,STARTER,550.58,666.20
0001368319,STARTER,1387.26,1678.58
0001368320,STARTER,588.35,711.91
0001369005,STARTER,524.25,634.34
0001369014,STARTER,499.99,604.99
0001369016,STARTER,924.22,1118.30
0001369017,STARTER,833.23,1008.20
0001369018,STARTER,943.36,1141.47
0001369019,STARTER,1130.11,1367.43
0001369020,STARTER,1075.04,1300.80
0001369023,STARTER,952.93,1153.05
0001369024,STARTER,510.72,617.97
0001369106,STARTER,1368.86,1656.32
0001371004,STARTER,858.11,1038.31
0001371006,STARTER,816.14,987.53
0001371007,STARTER,1083.60,1311.16
0001371009,STARTER,1825.64,2209.02
0001371012,STARTER,1047.36,1267.30
0001371014,STARTER,1062.62,1285.77
0001371017,STARTER,1415.55,1712.82
0001371018,STARTER,1801.72,2180.09
0001371019,STARTER,990.12,1198.05
0001371020,STARTER,1014.93,1228.06
0001372001,STARTER,905.04,1095.10
0001372005,STARTER,899.32,1088.17
0001372006,STARTER,747.28,904.20
0001372007,STARTER,939.58,1136.89
0001372008,STARTER,828.42,1002.39
0001416002,STARTER,936.17,1132.76
0001416003,STARTER,930.22,1125.57
0001416004,STARTER,1060.71,1283.46
0001416005,STARTER,929.84,1125.11
0001416009,STARTER,929.84,1125.11
0001416010,STARTER,1323.98,1602.02
0001416011,STARTER,934.24,1130.43
0001416013,STARTER,929.08,1124.18
0001416020,STARTER,1664.04,2013.49
0001416022,STARTER,929.08,1124.18
0001416023,STARTER,953.88,1154.19
0001416026,STARTER,967.23,1170.35
0001416028,STARTER,971.05,1174.97
0001416029,STARTER,1853.19,2242.36
0001416030,STARTER,929.84,1125.11
0001416031,STARTER,972.96,1177.28
0001416032,STARTER,972.96,1177.28
0001416033,STARTER,1647.27,1993.20
0001416035,STARTER,1984.88,2401.71
0001416036,STARTER,929.84,1125.11
0001416038,STARTER,1215.11,1470.28
0001416039,STARTER,1644.89,1990.32
0001416040,STARTER,1563.49,1891.82
0001416046,STARTER,1135.11,1373.49
0001416047,STARTER,1709.55,2068.55
0001416052,STARTER,934.24,1130.43
0001416053,STARTER,972.96,1177.28
0001416059,STARTER,1176.81,1423.93
0001416060,STARTER,949.50,1148.89
0001416061,STARTER,1199.98,1451.97
0001416062,STARTER,2053.35,2484.55
0001416068,STARTER,2003.12,2423.77
0001416070,STARTER,929.08,1124.18
0001416071,STARTER,972.96,1177.28
0001416078,STARTER,992.03,1200.36
0001416079,STARTER,938.05,1135.04
0001416080,STARTER,1047.36,1267.30
0001417001,STARTER,799.73,967.67
0001417005,STARTER,972.96,1177.28
0001417007,STARTER,1601.79,1938.17
0001417023,STARTER,963.42,1165.73
0001417024,STARTER,948.54,1147.73
0001417025,STARTER,1060.71,1283.46
0001417026,STARTER,986.31,1193.43
0001417036,STARTER,1759.82,2129.38
0001417037,STARTER,953.88,1154.19
0001417042,STARTER,948.54,1147.73
0001417043,STARTER,1699.95,2056.94
0001417045,STARTER,959.60,1161.12
0001417049,STARTER,1666.43,2016.38
0001417053,STARTER,1096.96,1327.32
0001417055,STARTER,948.54,1147.73
0001417056,STARTER,1704.74,2062.74
0001417058,STARTER,990.12,1198.05
0001417059,STARTER,1828.06,2211.96
0001417060,STARTER,969.14,1172.66
0001417064,STARTER,1001.57,1211.90
0001417068,STARTER,1660.45,2009.14
0001417071,STARTER,2108.78,2551.63
0001417072,STARTER,1977.86,2393.21
0001417073,STARTER,974.86,1179.58
0001417075,STARTER,1211.42,1465.82
0001417077,STARTER,1093.42,1323.03
0001418001,STARTER,1051.17,1271.92
0001418014,STARTER,1083.60,1311.16
0001420011,STARTER,4079.89,4936.67
0001420013,STARTER,4063.13,4916.39
0001420024,STARTER,3047.95,3688.02
0001420028,STARTER,4119.40,4984.48
0001420029,STARTER,4096.64,4956.94
0001510005,STARTER,3039.05,3677.25
0001510008,STARTER,2775.78,3358.70
0001510009,STARTER,2768.15,3349.46
0001510010,STARTER,5439.86,6582.23
0001510017,STARTER,2132.12,2579.86
0001510025,STARTER,3166.87,3831.92
0001510028,STARTER,4521.64,5471.18
0001510029,STARTER,2983.73,3610.31
0001510032,STARTER,2924.59,3538.75
0001510033,STARTER,3002.81,3633.40
0001510034,STARTER,5184.87,6273.70
0001510035,STARTER,3430.33,4150.69
0001510036,STARTER,4677.27,5659.50
0001510038,STARTER,2792.95,3379.47
0001510039,STARTER,3055.08,3696.65
0001510041,STARTER,14442.12,17474.96
0001512001,STARTER,20082.23,24299.49
0001601001,STARTER,8386.49,10147.65
0001601007,STARTER,9267.16,11213.27
0001601017,STARTER,8086.97,9785.24
0001601025,STARTER,8386.49,10147.65
0001601027,STARTER,8790.93,10637.03
0001601028,STARTER,7394.46,8947.29
0001602002,STARTER,9761.98,11812.00
0001604018,STARTER,19614.14,23733.11
0001606001,STARTER,11885.53,14381.49
0001606013,STARTER,9851.65,11920.49
0001607002,STARTER,17559.82,21247.39
0001608003,STARTER,19132.90,23150.80
0001612002,STARTER,20593.41,24918.03
0001613001,STARTER,12526.32,15156.85
0001615002,STARTER,10124.46,12250.59
0120335007,ALTERNATOR,414.95,502.08
0120335012,ALTERNATOR,397.58,481.07
0120339531,ALTERNATOR,579.58,701.29
0120339537,ALTERNATOR,594.27,719.07
0120339547,ALTERNATOR,1348.28,1631.42
0120340008,ALTERNATOR,1601.75,1938.11
0120450015,ALTERNATOR,631.85,764.54
0120450029,ALTERNATOR,1379.31,1668.96
0120465013,ALTERNATOR,1223.91,1480.93
0120465017,ALTERNATOR,1189.87,1439.75
0120465031,ALTERNATOR,389.95,471.83
0120468005,ALTERNATOR,775.89,938.83
0120468049,ALTERNATOR,2238.92,2709.09
0120468054,ALTERNATOR,638.72,772.85
